"Date","Price","Open","High","Low","Vol.","Change %"
"08-02-2024","4,134.10","4,090.00","4,158.00","4,086.05","2.35M","1.24%"
"07-02-2024","4,083.40","4,153.00","4,155.00","4,073.95","2.12M","-1.27%"
"06-02-2024","4,136.00","3,997.00","4,149.90","3,990.00","4.47M","4.09%"
"05-02-2024","3,973.30","3,983.00","4,022.00","3,962.10","1.69M","0.18%"
"02-02-2024","3,966.30","3,875.05","3,984.40","3,872.00","2.83M","2.91%"
"01-02-2024","3,854.15","3,820.00","3,904.90","3,805.05","2.36M","1.00%"
"31-01-2024","3,815.95","3,811.20","3,834.00","3,796.45","2.46M","0.41%"
"30-01-2024","3,800.55","3,807.45","3,847.80","3,787.00","1.41M","-0.01%"
"29-01-2024","3,801.00","3,800.80","3,820.00","3,780.85","1.65M","-0.24%"
"25-01-2024","3,810.30","3,839.90","3,861.00","3,778.70","2.21M","-0.82%"
"24-01-2024","3,841.80","3,880.00","3,883.65","3,805.60","2.66M","-0.43%"
"23-01-2024","3,858.25","3,900.00","3,933.90","3,842.75","2.62M","-0.06%"
"20-01-2024","3,860.65","3,948.00","3,955.65","3,855.55","516.48K","-2.09%"
"19-01-2024","3,943.05","3,945.00","3,963.55","3,915.05","2.94M","1.50%"
"18-01-2024","3,884.60","3,880.02","3,890.77","3,844.19","2.24M","0.46%"
"17-01-2024","3,866.68","3,801.39","3,891.92","3,794.97","3.46M","0.60%"
"16-01-2024","3,843.49","3,881.02","3,881.02","3,837.77","1.43M","-1.09%"
"15-01-2024","3,885.80","3,941.74","3,946.71","3,867.08","2.80M","0.54%"
"12-01-2024","3,864.89","3,830.25","3,887.24","3,803.98","6.81M","3.94%"
"11-01-2024","3,718.32","3,706.82","3,755.60","3,689.90","1.78M","0.61%"
"10-01-2024","3,695.93","3,672.98","3,712.05","3,670.99","1.29M","0.63%"
"09-01-2024","3,672.88","3,692.84","3,735.04","3,665.76","1.37M","0.32%"
"08-01-2024","3,661.34","3,720.66","3,722.50","3,655.46","1.07M","-1.59%"
"05-01-2024","3,720.66","3,658.05","3,730.47","3,657.90","1.96M","1.94%"
"04-01-2024","3,649.89","3,684.68","3,701.85","3,634.16","3.60M","-0.68%"
"03-01-2024","3,674.72","3,749.63","3,754.45","3,670.04","1.80M","-2.42%"
"02-01-2024","3,765.75","3,793.52","3,793.52","3,749.88","1.34M","-0.73%"
"01-01-2024","3,793.52","3,772.52","3,814.33","3,755.60","825.91K","0.47%"
"29-12-2023","3,775.91","3,774.51","3,804.97","3,748.03","1.57M","-0.17%"
"28-12-2023","3,782.38","3,806.36","3,820.30","3,774.61","1.68M","-0.30%"
"27-12-2023","3,793.62","3,781.48","3,800.59","3,750.62","1.29M","0.41%"
"26-12-2023","3,778.04","3,802.23","3,816.32","3,772.67","1.29M","-0.74%"
"22-12-2023","3,806.36","3,782.47","3,828.21","3,744.65","2.41M","0.96%"
"21-12-2023","3,770.03","3,738.93","3,789.14","3,726.09","1.52M","0.20%"
"20-12-2023","3,762.62","3,809.60","3,880.82","3,749.18","2.59M","-0.95%"
"19-12-2023","3,798.60","3,827.27","3,837.32","3,772.52","2.00M","-1.11%"
"18-12-2023","3,841.40","3,840.31","3,910.88","3,812.49","2.52M","-0.05%"
"15-12-2023","3,843.19","3,649.79","3,877.98","3,649.79","8.53M","5.28%"
"14-12-2023","3,650.34","3,613.26","3,661.04","3,610.87","3.29M","2.05%"
"13-12-2023","3,576.98","3,626.75","3,633.17","3,546.57","3.85M","-2.14%"
"12-12-2023","3,655.16","3,622.17","3,681.34","3,614.25","2.24M","0.80%"
"11-12-2023","3,626.10","3,606.19","3,636.15","3,598.33","1.10M","0.45%"
"08-12-2023","3,609.97","3,616.25","3,628.19","3,585.44","1.64M","0.33%"
"07-12-2023","3,598.23","3,588.37","3,613.81","3,575.14","1.97M","0.30%"
"06-12-2023","3,587.48","3,516.31","3,596.19","3,508.89","1.90M","2.05%"
"05-12-2023","3,515.31","3,521.68","3,521.68","3,486.65","1.38M","0.55%"
"04-12-2023","3,496.25","3,528.30","3,531.44","3,481.87","1.63M","0.02%"
"01-12-2023","3,495.45","3,483.86","3,500.73","3,473.95","1.17M","0.69%"
"30-11-2023","3,471.51","3,483.31","3,500.43","3,464.95","3.27M","-0.74%"
"29-11-2023","3,497.54","3,464.95","3,501.77","3,459.77","1.44M","1.26%"
"28-11-2023","3,454.15","3,441.16","3,465.19","3,417.17","1.69M","0.38%"
"24-11-2023","3,441.16","3,478.14","3,488.39","3,437.07","1.99M","-1.46%"
"23-11-2023","3,492.07","3,513.72","3,527.66","3,483.86","2.73M","-0.62%"
"22-11-2023","3,513.87","3,483.86","3,516.36","3,465.04","1.80M","0.57%"
"21-11-2023","3,494.01","3,503.37","3,522.73","3,484.85","1.81M","-0.27%"
"20-11-2023","3,503.37","3,475.15","3,517.60","3,475.15","1.48M","0.49%"
"17-11-2023","3,486.30","3,481.72","3,508.25","3,476.44","2.02M","0.13%"
"16-11-2023","3,481.72","3,414.23","3,513.07","3,398.45","3.95M","2.75%"
"15-11-2023","3,388.60","3,367.50","3,397.26","3,340.57","2.06M","2.18%"
"13-11-2023","3,316.19","3,340.52","3,340.52","3,311.66","1.03M","-1.27%"
"12-11-2023","3,358.90","3,350.00","3,359.00","3,350.00","173.21K","1.23%"
"10-11-2023","3,318.08","3,322.60","3,332.01","3,307.03","1.34M","-0.42%"
"09-11-2023","3,332.01","3,374.47","3,375.86","3,326.64","2.11M","-1.01%"
"08-11-2023","3,365.95","3,355.90","3,386.26","3,354.01","992.90K","0.33%"
"07-11-2023","3,354.91","3,362.42","3,388.45","3,350.48","1.19M","-0.29%"
"06-11-2023","3,364.66","3,359.44","3,376.66","3,343.51","1.10M","0.88%"
"03-11-2023","3,335.45","3,366.40","3,372.27","3,328.88","1.40M","-0.27%"
"02-11-2023","3,344.60","3,327.78","3,360.38","3,327.78","1.25M","0.88%"
"01-11-2023","3,315.29","3,339.53","3,356.05","3,295.73","1.56M","-1.13%"
"31-10-2023","3,353.21","3,383.32","3,383.32","3,334.60","999.81K","-0.29%"
"30-10-2023","3,362.97","3,334.55","3,367.25","3,318.38","910.97K","0.82%"
"27-10-2023","3,335.50","3,334.55","3,346.49","3,321.61","1.11M","0.43%"
"26-10-2023","3,321.36","3,352.52","3,358.14","3,314.64","1.98M","-1.57%"
"25-10-2023","3,374.47","3,374.86","3,409.20","3,361.62","1.52M","-0.59%"
"23-10-2023","3,394.42","3,456.98","3,462.91","3,385.61","1.11M","-2.42%"
"20-10-2023","3,478.43","3,434.49","3,483.36","3,428.17","1.48M","1.13%"
"19-10-2023","3,439.71","3,453.50","3,460.81","3,435.98","1.51M","-0.91%"
"18-10-2023","3,471.17","3,494.81","3,506.45","3,467.93","1.41M","-0.56%"
"17-10-2023","3,490.88","3,513.72","3,517.85","3,487.19","1.67M","-0.48%"
"16-10-2023","3,507.80","3,549.55","3,558.16","3,502.87","1.67M","-1.31%"
"13-10-2023","3,554.38","3,513.72","3,560.50","3,508.74","2.89M","0.80%"
"12-10-2023","3,526.21","3,558.51","3,572.10","3,521.78","4.24M","-1.87%"
"11-10-2023","3,593.25","3,633.17","3,633.17","3,588.37","2.43M","-0.52%"
"10-10-2023","3,612.16","3,623.26","3,631.18","3,584.74","1.85M","-0.26%"
"09-10-2023","3,621.57","3,628.24","3,662.03","3,614.25","4.23M","0.47%"
"06-10-2023","3,604.70","3,574.44","3,618.19","3,558.56","2.08M","0.89%"
"05-10-2023","3,572.80","3,537.61","3,607.29","3,534.82","2.99M","1.46%"
"04-10-2023","3,521.43","3,470.22","3,531.64","3,461.26","1.79M","0.68%"
"03-10-2023","3,497.64","3,517.90","3,517.90","3,464.05","1.95M","-0.42%"
"29-09-2023","3,512.33","3,520.89","3,551.99","3,489.38","2.24M","-0.23%"
"28-09-2023","3,520.44","3,583.40","3,586.18","3,511.08","1.76M","-1.46%"
"27-09-2023","3,572.75","3,573.44","3,597.33","3,539.30","1.54M","0.10%"
"26-09-2023","3,569.16","3,551.15","3,578.37","3,519.69","1.73M","0.24%"
"25-09-2023","3,560.65","3,585.89","3,603.30","3,542.24","1.24M","-0.74%"
"22-09-2023","3,587.03","3,567.47","3,616.99","3,548.61","1.99M","0.51%"
"21-09-2023","3,568.76","3,572.00","3,588.37","3,511.73","2.00M","-0.58%"
"20-09-2023","3,589.42","3,563.49","3,608.28","3,563.49","1.65M","0.00%"
"18-09-2023","3,589.52","3,563.54","3,602.61","3,558.76","1.40M","0.22%"
"15-09-2023","3,581.71","3,551.40","3,590.71","3,546.02","2.95M","1.07%"
"14-09-2023","3,543.63","3,553.58","3,581.11","3,529.25","2.60M","-0.22%"
"13-09-2023","3,551.40","3,554.63","3,572.30","3,528.65","1.75M","-0.36%"
"12-09-2023","3,564.28","3,475.90","3,573.34","3,466.94","4.48M","2.88%"
"11-09-2023","3,464.60","3,446.03","3,469.62","3,429.11","1.78M","1.13%"
"08-09-2023","3,426.03","3,439.31","3,449.02","3,419.21","1.52M","-0.39%"
"07-09-2023","3,439.31","3,414.98","3,444.04","3,406.52","1.89M","0.74%"
"06-09-2023","3,414.08","3,418.16","3,428.02","3,382.43","1.31M","0.02%"
"05-09-2023","3,413.53","3,404.23","3,431.10","3,389.45","1.50M","0.32%"
"04-09-2023","3,402.73","3,362.42","3,417.02","3,354.51","1.83M","1.16%"
"01-09-2023","3,363.61","3,350.48","3,373.37","3,341.32","1.28M","0.67%"
"31-08-2023","3,341.32","3,385.31","3,401.64","3,328.23","3.42M","-1.01%"
"30-08-2023","3,375.31","3,382.33","3,392.38","3,367.45","1.19M","0.44%"
"29-08-2023","3,360.58","3,365.46","3,373.92","3,349.48","944.52K","0.02%"
"28-08-2023","3,359.98","3,378.35","3,378.35","3,344.60","1.04M","-0.17%"
"25-08-2023","3,365.71","3,359.44","3,370.19","3,334.80","1.16M","-0.19%"
"24-08-2023","3,372.13","3,392.28","3,397.31","3,362.52","1.15M","-0.31%"
"23-08-2023","3,382.58","3,372.38","3,386.31","3,360.43","1.33M","0.48%"
"22-08-2023","3,366.55","3,384.32","3,395.27","3,349.53","1.22M","-0.57%"
"21-08-2023","3,385.96","3,359.44","3,394.02","3,356.45","1.38M","1.03%"
"18-08-2023","3,351.57","3,394.27","3,394.27","3,341.02","2.53M","-2.00%"
"17-08-2023","3,419.90","3,439.07","3,444.84","3,397.46","1.84M","-0.65%"
